500,1500
fromId,toId,d,u1
121,233,1,2
233,121,1,2
67,77,2,4
77,67,2,4
88,405,2,4
405,88,2,4
111,297,2,2
297,111,2,2
175,212,2,3
212,175,2,3
240,453,2,2
453,240,2,2
16,135,3,4
135,16,3,4
21,223,3,5
223,21,3,5
113,353,3,5
353,113,3,5
144,342,3,2
342,144,3,2
145,165,3,4
165,145,3,4
185,321,3,3
321,185,3,3
186,377,3,4
377,186,3,4
199,454,3,3
454,199,3,3
209,430,3,2
430,209,3,2
250,286,3,1
286,250,3,1
265,391,3,6
391,265,3,6
336,425,3,1
425,336,3,1
359,429,3,5
429,359,3,5
386,481,3,4
481,386,3,4
461,494,3,2
494,461,3,2
10,362,4,4
362,10,4,4
17,333,4,5
333,17,4,5
67,244,4,4
244,67,4,4
75,441,4,5
441,75,4,5
93,419,4,5
419,93,4,5
104,191,4,7
191,104,4,7
116,126,4,5
126,116,4,5
123,229,4,2
229,123,4,2
126,358,4,6
358,126,4,6
136,360,4,1
360,136,4,1
153,441,4,3
441,153,4,3
243,435,4,5
435,243,4,5
247,432,4,8
432,247,4,8
304,469,4,2
469,304,4,2
388,492,4,5
492,388,4,5
9,90,5,7
90,9,5,7
12,230,5,6
230,12,5,6
18,372,5,7
372,18,5,7
38,185,5,4
185,38,5,4
45,488,5,9
488,45,5,9
47,478,5,9
478,47,5,9
86,211,5,7
211,86,5,7
89,463,5,4
463,89,5,4
122,472,5,7
472,122,5,7
143,226,5,4
226,143,5,4
148,441,5,4
441,148,5,4
167,492,5,3
492,167,5,3
172,175,5,8
175,172,5,8
235,303,5,2
303,235,5,2
283,336,5,10
336,283,5,10
315,347,5,5
347,315,5,5
0,350,6,4
350,0,6,4
32,389,6,5
389,32,6,5
33,313,6,10
313,33,6,10
33,450,6,5
450,33,6,5
38,289,6,10
289,38,6,10
41,125,6,6
125,41,6,6
56,239,6,12
239,56,6,12
58,98,6,5
98,58,6,5
69,376,6,2
376,69,6,2
71,319,6,10
319,71,6,10
80,137,6,9
137,80,6,9
124,429,6,4
429,124,6,4
137,200,6,10
200,137,6,10
174,305,6,10
305,174,6,10
187,225,6,9
225,187,6,9
192,324,6,2
324,192,6,2
215,350,6,9
350,215,6,9
254,354,6,9
354,254,6,9
260,473,6,11
473,260,6,11
273,445,6,11
445,273,6,11
278,413,6,2
413,278,6,2
279,321,6,2
321,279,6,2
304,318,6,9
318,304,6,9
325,421,6,10
421,325,6,10
345,498,6,12
498,345,6,12
366,381,6,2
381,366,6,2
444,461,6,8
461,444,6,8
7,281,7,14
281,7,7,14
9,196,7,13
196,9,7,13
13,250,7,2
250,13,7,2
18,375,7,13
375,18,7,13
23,310,7,10
310,23,7,10
58,224,7,13
224,58,7,13
61,180,7,11
180,61,7,11
62,269,7,8
269,62,7,8
73,310,7,14
310,73,7,14
79,189,7,11
189,79,7,11
83,230,7,2
230,83,7,2
94,422,7,1
422,94,7,1
101,428,7,14
428,101,7,14
101,491,7,10
491,101,7,10
108,124,7,13
124,108,7,13
114,477,7,11
477,114,7,11
117,249,7,10
249,117,7,10
141,476,7,6
476,141,7,6
142,440,7,11
440,142,7,11
158,301,7,1
301,158,7,1
190,324,7,3
324,190,7,3
190,433,7,4
433,190,7,4
223,322,7,8
322,223,7,8
224,227,7,12
227,224,7,12
236,356,7,13
356,236,7,13
253,405,7,3
405,253,7,3
263,307,7,11
307,263,7,11
272,373,7,6
373,272,7,6
284,288,7,11
288,284,7,11
295,452,7,13
452,295,7,13
326,380,7,9
380,326,7,9
359,399,7,3
399,359,7,3
363,437,7,10
437,363,7,10
392,454,7,12
454,392,7,12
448,483,7,5
483,448,7,5
486,499,7,4
499,486,7,4
11,346,8,11
346,11,8,11
15,397,8,12
397,15,8,12
24,195,8,11
195,24,8,11
25,39,8,6
39,25,8,6
37,194,8,2
194,37,8,2
46,372,8,5
372,46,8,5
46,375,8,5
375,46,8,5
47,81,8,12
81,47,8,12
49,340,8,1
340,49,8,1
62,480,8,13
480,62,8,13
83,370,8,7
370,83,8,7
90,424,8,6
424,90,8,6
96,216,8,2
216,96,8,2
96,409,8,3
409,96,8,3
97,421,8,11
421,97,8,11
103,277,8,13
277,103,8,13
105,129,8,15
129,105,8,15
114,302,8,7
302,114,8,7
118,317,8,9
317,118,8,9
120,242,8,9
242,120,8,9
122,378,8,1
378,122,8,1
140,163,8,4
163,140,8,4
141,483,8,1
483,141,8,1
169,181,8,15
181,169,8,15
171,487,8,13
487,171,8,13
195,443,8,16
443,195,8,16
200,418,8,14
418,200,8,14
263,279,8,9
279,263,8,9
268,280,8,2
280,268,8,2
276,448,8,9
448,276,8,9
306,385,8,9
385,306,8,9
316,408,8,10
408,316,8,10
374,468,8,1
468,374,8,1
1,100,9,15
100,1,9,15
2,231,9,13
231,2,9,13
8,137,9,5
137,8,9,5
19,386,9,6
386,19,9,6
22,409,9,6
409,22,9,6
34,423,9,17
423,34,9,17
36,267,9,2
267,36,9,2
59,470,9,16
470,59,9,16
60,344,9,10
344,60,9,10
65,474,9,1
474,65,9,1
71,366,9,18
366,71,9,18
76,314,9,9
314,76,9,9
84,259,9,13
259,84,9,13
85,179,9,8
179,85,9,8
98,319,9,1
319,98,9,1
107,491,9,13
491,107,9,13
