500,1494
fromId,toId,d,u1
57,419,2,2
419,57,2,2
88,399,2,2
399,88,2,2
163,165,2,3
165,163,2,3
360,409,2,2
409,360,2,2
25,476,3,3
476,25,3,3
77,352,3,5
352,77,3,5
97,404,3,6
404,97,3,6
113,356,3,1
356,113,3,1
125,179,3,2
179,125,3,2
133,236,3,2
236,133,3,2
145,266,3,4
266,145,3,4
147,402,3,6
402,147,3,6
181,470,3,3
470,181,3,3
287,293,3,1
293,287,3,1
298,434,3,5
434,298,3,5
448,453,3,1
453,448,3,1
5,158,4,7
158,5,4,7
32,451,4,3
451,32,4,3
33,243,4,1
243,33,4,1
84,243,4,2
243,84,4,2
87,257,4,3
257,87,4,3
119,409,4,5
409,119,4,5
139,221,4,5
221,139,4,5
148,360,4,7
360,148,4,7
167,248,4,3
248,167,4,3
171,286,4,6
286,171,4,6
183,214,4,3
214,183,4,3
213,289,4,4
289,213,4,4
217,290,4,4
290,217,4,4
223,384,4,7
384,223,4,7
232,235,4,6
235,232,4,6
339,408,4,8
408,339,4,8
5,216,5,4
216,5,5,4
8,431,5,7
431,8,5,7
12,335,5,9
335,12,5,9
12,388,5,4
388,12,5,4
18,468,5,8
468,18,5,8
19,425,5,4
425,19,5,4
24,266,5,7
266,24,5,7
35,479,5,9
479,35,5,9
37,122,5,3
122,37,5,3
38,110,5,4
110,38,5,4
41,308,5,10
308,41,5,10
48,164,5,8
164,48,5,8
125,221,5,5
221,125,5,5
150,475,5,9
475,150,5,9
157,211,5,3
211,157,5,3
157,299,5,8
299,157,5,8
161,359,5,2
359,161,5,2
167,220,5,10
220,167,5,10
198,321,5,4
321,198,5,4
222,310,5,6
310,222,5,6
347,398,5,8
398,347,5,8
359,496,5,3
496,359,5,3
401,479,5,9
479,401,5,9
453,489,5,2
489,453,5,2
4,128,6,8
128,4,6,8
14,169,6,5
169,14,6,5
30,385,6,4
385,30,6,4
31,109,6,7
109,31,6,7
35,197,6,1
197,35,6,1
37,82,6,1
82,37,6,1
41,366,6,8
366,41,6,8
45,496,6,12
496,45,6,12
48,121,6,7
121,48,6,7
55,62,6,6
62,55,6,6
58,285,6,8
285,58,6,8
67,186,6,1
186,67,6,1
69,202,6,2
202,69,6,2
74,104,6,10
104,74,6,10
81,349,6,12
349,81,6,12
82,228,6,10
228,82,6,10
117,281,6,4
281,117,6,4
120,392,6,8
392,120,6,8
124,166,6,2
166,124,6,2
131,249,6,5
249,131,6,5
156,184,6,6
184,156,6,6
177,212,6,6
212,177,6,6
205,443,6,8
443,205,6,8
207,451,6,10
451,207,6,10
241,455,6,9
455,241,6,9
291,358,6,2
358,291,6,2
