500,1498
fromId,toId,d,c1
164,243,1,1
243,164,1,1
353,457,1,1
457,353,1,1
7,377,2,1
377,7,2,1
35,82,2,2
82,35,2,2
124,302,2,2
302,124,2,2
148,196,2,1
196,148,2,1
169,324,2,2
324,169,2,2
222,285,2,1
285,222,2,1
274,476,2,2
476,274,2,2
290,466,2,2
466,290,2,2
344,392,2,1
392,344,2,1
369,420,2,2
420,369,2,2
377,441,2,1
441,377,2,1
109,162,3,3
162,109,3,3
110,157,3,2
157,110,3,2
110,313,3,2
313,110,3,2
129,328,3,2
328,129,3,2
198,293,3,3
293,198,3,3
264,332,3,3
332,264,3,3
272,305,3,3
305,272,3,3
272,398,3,3
398,272,3,3
345,395,3,3
395,345,3,3
12,356,4,3
356,12,4,3
28,142,4,4
142,28,4,4
35,154,4,2
154,35,4,2
72,295,4,3
295,72,4,3
83,117,4,3
117,83,4,3
119,451,4,3
451,119,4,3
141,330,4,4
330,141,4,4
150,437,4,3
437,150,4,3
159,495,4,3
495,159,4,3
166,352,4,4
352,166,4,4
203,358,4,3
358,203,4,3
224,447,4,4
447,224,4,4
251,434,4,3
434,251,4,3
318,462,4,3
462,318,4,3
336,484,4,3
484,336,4,3
339,493,4,4
493,339,4,4
453,466,4,3
466,453,4,3
0,63,5,4
63,0,5,4
19,78,5,5
78,19,5,5
52,414,5,4
414,52,5,4
53,494,5,5
494,53,5,5
55,460,5,5
460,55,5,5
60,277,5,4
277,60,5,4
63,432,5,4
432,63,5,4
66,433,5,4
433,66,5,4
70,215,5,5
215,70,5,5
85,258,5,4
258,85,5,4
86,100,5,4
100,86,5,4
88,172,5,5
172,88,5,5
109,201,5,5
201,109,5,5
128,158,5,4
158,128,5,4
135,140,5,4
140,135,5,4
140,330,5,5
330,140,5,5
151,335,5,4
335,151,5,4
189,415,5,4
415,189,5,4
210,233,5,5
233,210,5,5
230,280,5,4
280,230,5,4
240,338,5,4
338,240,5,4
316,428,5,4
428,316,5,4
347,357,5,4
357,347,5,4
365,475,5,4
475,365,5,4
369,379,5,4
379,369,5,4
25,469,6,5
469,25,6,5
65,186,6,7
186,65,6,7
93,308,6,4
308,93,6,4
98,435,6,5
435,98,6,5
128,441,6,5
441,128,6,5
135,405,6,5
405,135,6,5
145,209,6,5
209,145,6,5
176,286,6,5
286,176,6,5
182,271,6,6
271,182,6,6
207,222,6,6
222,207,6,6
223,376,6,7
376,223,6,7
226,343,6,5
343,226,6,5
275,402,6,6
402,275,6,6
277,423,6,6
423,277,6,6
303,432,6,5
432,303,6,5
334,369,6,5
369,334,6,5
376,399,6,7
399,376,6,7
423,493,6,6
493,423,6,6
447,480,6,7
480,447,6,7
472,496,6,4
496,472,6,4
11,352,7,8
352,11,7,8
20,403,7,6
403,20,7,6
31,195,7,6
195,31,7,6
32,166,7,5
166,32,7,5
41,174,7,6
174,41,7,6
47,120,7,7
120,47,7,7
51,299,7,7
299,51,7,7
59,229,7,6
229,59,7,6
61,315,7,7
315,61,7,7
62,465,7,6
465,62,7,6
85,263,7,7
263,85,7,7
88,281,7,6
281,88,7,6
94,334,7,6
334,94,7,6
104,183,7,6
183,104,7,6
107,143,7,6
143,107,7,6
119,474,7,6
474,119,7,6
120,342,7,6
342,120,7,6
123,499,7,7
499,123,7,7
132,199,7,7
199,132,7,7
132,497,7,6
497,132,7,6
133,410,7,7
410,133,7,7
145,237,7,7
237,145,7,7
159,464,7,5
464,159,7,5
169,363,7,6
363,169,7,6
192,401,7,7
401,192,7,7
197,282,7,6
282,197,7,6
220,406,7,6
406,220,7,6
221,380,7,7
380,221,7,7
225,488,7,6
488,225,7,6
295,422,7,8
422,295,7,8
315,390,7,6
390,315,7,6
412,448,7,6
448,412,7,6
4,130,8,8
130,4,8,8
33,134,8,7
134,33,8,7
49,67,8,7
67,49,8,7
50,416,8,8
416,50,8,8
67,382,8,7
382,67,8,7
74,248,8,8
248,74,8,8
78,322,8,7
322,78,8,7
86,312,8,8
312,86,8,8
89,409,8,8
409,89,8,8
99,300,8,7
300,99,8,7
101,486,8,7
486,101,8,7
158,242,8,8
242,158,8,8
185,311,8,7
311,185,8,7
206,337,8,9
337,206,8,9
238,491,8,7
491,238,8,7
247,427,8,7
427,247,8,7
265,477,8,7
477,265,8,7
295,353,8,7
353,295,8,7
314,349,8,7
349,314,8,7
333,388,8,8
388,333,8,8
345,412,8,7
412,345,8,7
391,457,8,7
457,391,8,7
395,448,8,6
448,395,8,6
11,32,9,8
32,11,9,8
22,344,9,8
344,22,9,8
23,137,9,8
137,23,9,8
27,224,9,9
224,27,9,9
90,123,9,9
123,90,9,9
97,306,9,10
306,97,9,10
125,225,9,9
225,125,9,9
131,233,9,9
233,131,9,9
137,235,9,9
235,137,9,9
150,407,9,11
407,150,9,11
154,157,9,8
157,154,9,8
170,246,9,9
246,170,9,9
174,324,9,9
324,174,9,9
175,373,9,7
373,175,9,7
188,278,9,10
278,188,9,10
195,393,9,8
393,195,9,8
219,434,9,9
434,219,9,9
241,365,9,9
365,241,9,9
309,400,9,8
400,309,9,8
360,456,9,8
456,360,9,8
390,396,9,6
396,390,9,6
418,474,9,9
474,418,9,9
8,450,10,10
450,8,10,10
10,162,10,9
162,10,10,9
13,173,10,9
173,13,10,9
14,236,10,9
236,14,10,9
18,44,10,9
44,18,10,9
29,92,10,10
92,29,10,10
33,348,10,10
348,33,10,10
39,68,10,10
68,39,10,10
44,275,10,8
275,44,10,8
54,323,10,8
323,54,10,8
74,194,10,9
194,74,10,9
102,252,10,10
252,102,10,10
111,254,10,9
254,111,10,9
123,473,10,9
473,123,10,9
124,283,10,10
283,124,10,10
139,179,10,9
179,139,10,9
152,394,10,11
394,152,10,11
180,217,10,10
217,180,10,10
180,430,10,11
430,180,10,11
196,213,10,9
213,196,10,9
203,435,10,8
435,203,10,8
211,435,10,8
435,211,10,8
220,328,10,10
328,220,10,10
228,411,10,9
411,228,10,9
255,291,10,8
291,255,10,8
257,278,10,8
278,257,10,8
260,483,10,9
483,260,10,9
284,320,10,10
320,284,10,10
363,487,10,9
487,363,10,9
416,485,10,9
485,416,10,9
419,492,10,10
492,419,10,10
490,491,10,8
491,490,10,8
1,42,11,10
42,1,11,10
4,217,11,9
217,4,11,9
15,37,11,11
37,15,11,11
18,443,11,10
443,18,11,10
26,212,11,11
212,26,11,11
51,467,11,10
467,51,11,10
57,371,11,10
371,57,11,10
68,394,11,10
394,68,11,10
78,184,11,12
184,78,11,12
87,409,11,11
409,87,11,11
106,329,11,9
329,106,11,9
106,335,11,11
335,106,11,11
111,341,11,10
341,111,11,10
112,349,11,10
349,112,11,10
115,261,11,11
261,115,11,11
116,149,11,10
149,116,11,10
138,222,11,11
222,138,11,11
156,184,11,12
184,156,11,12
178,375,11,9
375,178,11,9
188,419,11,9
419,188,11,9
213,338,11,10
338,213,11,10
222,496,11,9
496,222,11,9
228,326,11,11
326,228,11,11
260,417,11,10
417,260,11,10
286,477,11,11
477,286,11,11
301,379,11,11
379,301,11,11
317,355,11,11
355,317,11,11
374,390,11,9
390,374,11,9
386,397,11,10
397,386,11,10
401,484,11,12
484,401,11,12
0,192,12,13
192,0,12,13
23,448,12,11
448,23,12,11
52,417,12,11
417,52,12,11
