250,726
fromId,toId,d,u1
174,197,1,2
197,174,1,2
70,100,2,2
100,70,2,2
81,191,2,4
191,81,2,4
237,249,2,2
249,237,2,2
6,182,3,1
182,6,3,1
30,212,3,2
212,30,3,2
72,126,3,1
126,72,3,1
92,188,3,6
188,92,3,6
99,244,3,5
244,99,3,5
112,117,3,5
117,112,3,5
115,132,3,1
132,115,3,1
185,219,3,1
219,185,3,1
225,238,3,6
238,225,3,6
20,203,4,8
203,20,4,8
103,237,4,3
237,103,4,3
161,163,4,1
163,161,4,1
33,200,5,8
200,33,5,8
46,245,5,6
245,46,5,6
59,201,5,1
201,59,5,1
74,232,5,7
232,74,5,7
102,210,5,5
210,102,5,5
109,180,5,5
180,109,5,5
126,199,5,9
199,126,5,9
127,158,5,1
158,127,5,1
192,209,5,3
209,192,5,3
1,18,6,2
18,1,6,2
5,185,6,8
185,5,6,8
34,165,6,7
165,34,6,7
40,165,6,11
165,40,6,11
108,179,6,6
179,108,6,6
124,240,6,1
240,124,6,1
4,137,7,8
137,4,7,8
7,95,7,10
95,7,7,10
16,234,7,12
234,16,7,12
78,147,7,6
147,78,7,6
88,238,7,8
238,88,7,8
90,162,7,2
162,90,7,2
94,149,7,7
149,94,7,7
96,174,7,2
174,96,7,2
113,170,7,8
170,113,7,8
124,243,7,9
243,124,7,9
149,185,7,3
185,149,7,3
153,204,7,8
204,153,7,8
184,191,7,3
191,184,7,3
5,142,8,8
142,5,8,8
15,24,8,10
24,15,8,10
19,51,8,5
51,19,8,5
29,99,8,11
99,29,8,11
36,129,8,2
129,36,8,2
40,225,8,1
225,40,8,1
47,138,8,16
138,47,8,16
52,242,8,14
242,52,8,14
55,177,8,3
177,55,8,3
56,239,8,4
239,56,8,4
61,208,8,16
208,61,8,16
104,120,8,6
120,104,8,6
115,195,8,7
195,115,8,7
129,146,8,12
146,129,8,12
133,179,8,14
179,133,8,14
207,246,8,14
246,207,8,14
10,172,9,1
172,10,9,1
21,137,9,18
137,21,9,18
21,181,9,18
181,21,9,18
46,71,9,9
71,46,9,9
60,206,9,4
206,60,9,4
69,166,9,8
166,69,9,8
122,212,9,1
212,122,9,1
128,131,9,1
131,128,9,1
158,201,9,4
201,158,9,4
165,247,9,14
247,165,9,14
167,189,9,11
189,167,9,11
192,230,9,7
230,192,9,7
204,228,9,6
228,204,9,6
0,202,10,12
202,0,10,12
11,214,10,12
214,11,10,12
15,172,10,5
172,15,10,5
20,102,10,20
102,20,10,20
27,38,10,14
38,27,10,14
42,97,10,6
97,42,10,6
55,136,10,17
136,55,10,17
73,143,10,19
143,73,10,19
89,93,10,7
93,89,10,7
90,193,10,17
193,90,10,17
90,209,10,4
209,90,10,4
96,111,10,12
111,96,10,12
123,233,10,16
233,123,10,16
125,148,10,7
148,125,10,7
134,145,10,20
145,134,10,20
198,228,10,7
228,198,10,7
227,240,10,6
240,227,10,6
0,107,11,16
107,0,11,16
1,198,11,22
198,1,11,22
8,145,11,5
145,8,11,5
12,221,11,17
221,12,11,17
19,66,11,5
66,19,11,5
23,217,11,4
217,23,11,4
33,41,11,5
41,33,11,5
36,45,11,11
45,36,11,11
44,136,11,1
136,44,11,1
44,186,11,7
186,44,11,7
47,73,11,15
73,47,11,15
48,67,11,10
67,48,11,10
83,201,11,3
201,83,11,3
86,171,11,7
171,86,11,7
92,215,11,3
215,92,11,3
98,181,11,12
181,98,11,12
105,249,11,14
249,105,11,14
122,160,11,20
160,122,11,20
127,144,11,22
144,127,11,22
173,182,11,14
182,173,11,14
176,230,11,6
230,176,11,6
0,120,12,8
120,0,12,8
19,211,12,10
211,19,12,10
22,235,12,19
235,22,12,19
53,118,12,15
118,53,12,15
55,154,12,3
154,55,12,3
63,67,12,17
67,63,12,17
68,186,12,3
186,68,12,3
74,81,12,8
81,74,12,8
75,82,12,8
82,75,12,8
85,175,12,15
175,85,12,15
101,183,12,17
183,101,12,17
101,236,12,2
236,101,12,2
113,215,12,9
215,113,12,9
119,240,12,1
240,119,12,1
129,177,12,8
177,129,12,8
131,229,12,19
229,131,12,19
147,175,12,12
175,147,12,12
202,213,12,17
213,202,12,17
233,234,12,13
234,233,12,13
1,77,13,13
77,1,13,13
7,203,13,18
203,7,13,18
8,151,13,8
151,8,13,8
10,22,13,3
22,10,13,3
11,128,13,22
128,11,13,22
18,228,13,19
228,18,13,19
31,140,13,7
140,31,13,7
32,88,13,22
88,32,13,22
35,117,13,11
117,35,13,11
38,94,13,9
94,38,13,9
43,57,13,9
57,43,13,9
57,219,13,6
219,57,13,6
64,113,13,6
113,64,13,6
65,123,13,16
123,65,13,16
69,155,13,9
155,69,13,9
91,109,13,17
109,91,13,17
99,110,13,18
110,99,13,18
103,234,13,17
234,103,13,17
134,169,13,16
169,134,13,16
150,241,13,2
241,150,13,2
183,224,13,10
224,183,13,10
8,79,14,11
79,8,14,11
14,74,14,14
74,14,14,14
22,72,14,17
72,22,14,17
23,225,14,26
225,23,14,26
46,102,14,22
102,46,14,22
60,107,14,3
107,60,14,3
62,164,14,4
164,62,14,4
70,164,14,3
164,70,14,3
73,121,14,15
121,73,14,15
77,84,14,7
84,77,14,7
87,138,14,20
138,87,14,20
106,246,14,20
246,106,14,20
189,210,14,18
210,189,14,18
210,245,14,18
245,210,14,18
218,221,14,10
221,218,14,10
2,12,15,6
12,2,15,6
2,242,15,13
242,2,15,13
9,59,15,16
59,9,15,16
17,211,15,3
211,17,15,3
26,97,15,9
97,26,15,9
28,54,15,13
54,28,15,13
29,139,15,2
139,29,15,2
39,86,15,15
86,39,15,15
47,200,15,2
200,47,15,2
58,100,15,30
100,58,15,30
58,104,15,8
104,58,15,8
76,140,15,13
140,76,15,13
89,146,15,21
146,89,15,21
98,226,15,8
226,98,15,8
104,168,15,18
168,104,15,18
144,231,15,26
231,144,15,26
153,162,15,9
162,153,15,9
196,199,15,23
199,196,15,23
216,222,15,26
222,216,15,26
216,248,15,26
248,216,15,26
218,236,15,5
236,218,15,5
17,25,16,26
25,17,16,26
36,152,16,24
152,36,16,24
50,220,16,15
220,50,16,15
55,89,16,13
89,55,16,13
62,188,16,26
188,62,16,26
75,133,16,6
133,75,16,6
76,148,16,20
148,76,16,20
80,174,16,24
174,80,16,24
95,161,16,31
161,95,16,31
116,152,16,9
152,116,16,9
150,236,16,16
236,150,16,16
35,103,17,14
103,35,17,14
41,180,17,14
180,41,17,14
60,76,17,26
76,60,17,26
68,154,17,26
154,68,17,26
121,134,17,10
134,121,17,10
130,164,17,14
164,130,17,14
139,156,17,22
156,139,17,22
141,190,17,31
190,141,17,31
155,159,17,3
159,155,17,3
191,213,17,31
213,191,17,31
195,244,17,19
244,195,17,19
4,45,18,15
45,4,18,15
6,37,18,2
37,6,18,2
14,213,18,10
213,14,18,10
17,66,18,16
66,17,18,16
32,223,18,16
223,32,18,16
37,224,18,18
224,37,18,18
39,126,18,12
126,39,18,12
42,121,18,29
121,42,18,29
42,145,18,30
145,42,18,30
57,100,18,23
100,57,18,23
64,184,18,19
184,64,18,19
101,241,18,25
241,101,18,25
114,187,18,25
187,114,18,25
131,222,18,3
222,131,18,3
160,205,18,31
205,160,18,31
167,242,18,19
242,167,18,19
203,248,18,34
248,203,18,34
214,231,18,7
231,214,18,7
217,237,18,18
237,217,18,18
9,223,19,19
223,9,19,19
27,53,19,1
53,27,19,1
49,173,19,7
173,49,19,7
53,135,19,8
135,53,19,8
63,194,19,38
194,63,19,38
71,110,19,23
110,71,19,23
77,194,19,9
194,77,19,9
130,188,19,10
188,130,19,10
141,169,19,1
