250,728
fromId,toId,d,u1
34,197,1,1
197,34,1,1
40,212,2,1
212,40,2,1
56,190,2,4
190,56,2,4
19,111,3,1
111,19,3,1
63,113,3,6
113,63,3,6
64,214,3,2
214,64,3,2
89,204,3,5
204,89,3,5
101,113,3,1
113,101,3,1
108,216,3,3
216,108,3,3
147,204,3,3
204,147,3,3
181,239,3,3
239,181,3,3
5,30,4,3
30,5,4,3
9,80,4,8
80,9,4,8
53,84,4,5
84,53,4,5
78,108,4,3
108,78,4,3
109,129,4,7
129,109,4,7
130,187,4,8
187,130,4,8
0,229,5,4
229,0,5,4
9,214,5,2
214,9,5,2
31,140,5,2
140,31,5,2
68,157,5,10
157,68,5,10
80,135,5,6
135,80,5,6
85,217,5,8
217,85,5,8
90,215,5,5
215,90,5,5
92,132,5,6
132,92,5,6
96,119,5,8
119,96,5,8
110,210,5,10
210,110,5,10
4,182,6,7
182,4,6,7
12,100,6,2
100,12,6,2
12,202,6,1
202,12,6,1
29,241,6,6
241,29,6,6
50,114,6,8
114,50,6,8
64,80,6,9
80,64,6,9
71,170,6,11
170,71,6,11
142,150,6,12
150,142,6,12
154,199,6,8
199,154,6,8
186,244,6,11
244,186,6,11
219,229,6,9
229,219,6,9
22,115,7,1
115,22,7,1
37,144,7,3
144,37,7,3
38,183,7,8
183,38,7,8
44,98,7,13
98,44,7,13
44,165,7,11
165,44,7,11
46,59,7,6
59,46,7,6
72,104,7,3
104,72,7,3
89,195,7,6
195,89,7,6
121,184,7,6
184,121,7,6
136,216,7,5
216,136,7,5
146,182,7,8
182,146,7,8
168,244,7,1
244,168,7,1
191,209,7,12
209,191,7,12
5,75,8,10
75,5,8,10
13,85,8,2
85,13,8,2
32,129,8,1
129,32,8,1
72,125,8,4
125,72,8,4
112,178,8,10
178,112,8,10
140,158,8,3
158,140,8,3
170,185,8,8
185,170,8,8
176,244,8,12
244,176,8,12
177,189,8,13
189,177,8,13
188,242,8,14
242,188,8,14
211,221,8,7
221,211,8,7
227,242,8,10
242,227,8,10
15,42,9,18
42,15,9,18
21,166,9,15
166,21,9,15
24,90,9,16
90,24,9,16
27,116,9,5
116,27,9,5
32,235,9,14
235,32,9,14
68,219,9,5
219,68,9,5
71,163,9,11
163,71,9,11
79,151,9,18
151,79,9,18
108,127,9,4
127,108,9,4
125,226,9,6
226,125,9,6
134,181,9,9
181,134,9,9
147,173,9,16
173,147,9,16
148,210,9,13
210,148,9,13
162,243,9,1
243,162,9,1
4,100,10,20
100,4,10,20
6,243,10,2
243,6,10,2
22,189,10,4
189,22,10,4
23,118,10,9
118,23,10,9
39,65,10,4
65,39,10,4
48,52,10,17
52,48,10,17
51,107,10,16
107,51,10,16
52,159,10,8
159,52,10,8
77,177,10,11
177,77,10,11
94,237,10,9
237,94,10,9
97,109,10,12
109,97,10,12
123,225,10,15
225,123,10,15
125,246,10,10
246,125,10,10
143,188,10,15
188,143,10,15
167,179,10,8
179,167,10,8
236,248,10,4
248,236,10,4
12,158,11,16
158,12,11,16
16,33,11,18
33,16,11,18
21,247,11,17
247,21,11,17
40,220,11,21
220,40,11,21
45,107,11,7
107,45,11,7
51,248,11,16
248,51,11,16
54,131,11,11
131,54,11,11
57,172,11,4
172,57,11,4
62,131,11,5
131,62,11,5
73,200,11,8
200,73,11,8
83,205,11,10
205,83,11,10
112,161,11,17
161,112,11,17
113,164,11,11
164,113,11,11
123,152,11,8
152,123,11,8
124,176,11,17
176,124,11,17
153,195,11,8
195,153,11,8
184,238,11,6
238,184,11,6
197,240,11,19
240,197,11,19
1,130,12,2
130,1,12,2
10,93,12,18
93,10,12,18
10,95,12,5
95,10,12,5
11,75,12,12
75,11,12,12
15,74,12,13
74,15,12,13
17,228,12,22
228,17,12,22
32,249,12,1
249,32,12,1
33,180,12,6
180,33,12,6
56,221,12,14
221,56,12,14
61,169,12,24
169,61,12,24
76,156,12,4
156,76,12,4
77,146,12,13
146,77,12,13
78,99,12,11
99,78,12,11
121,167,12,7
167,121,12,7
123,218,12,24
218,123,12,24
131,232,12,7
232,131,12,7
178,234,12,20
234,178,12,20
211,214,12,11
214,211,12,11
5,191,13,16
191,5,13,16
14,116,13,1
116,14,13,1
14,207,13,4
207,14,13,4
27,46,13,13
46,27,13,13
44,208,13,23
208,44,13,23
46,141,13,14
141,46,13,14
65,171,13,1
171,65,13,1
73,205,13,15
205,73,13,15
88,167,13,4
167,88,13,4
152,202,13,5
202,152,13,5
179,184,13,23
184,179,13,23
198,224,13,23
224,198,13,23
199,209,13,25
209,199,13,25
235,246,13,15
246,235,13,15
3,128,14,10
128,3,14,10
13,135,14,16
135,13,14,16
25,85,14,26
85,25,14,26
29,180,14,12
180,29,14,12
39,145,14,20
145,39,14,20
41,246,14,2
246,41,14,2
67,149,14,2
149,67,14,2
70,118,14,5
118,70,14,5
70,231,14,28
231,70,14,28
81,133,14,12
133,81,14,12
91,173,14,16
173,91,14,16
93,120,14,6
120,93,14,6
103,137,14,4
137,103,14,4
120,155,14,14
155,120,14,14
122,233,14,27
233,122,14,27
127,149,14,6
149,127,14,6
139,231,14,6
231,139,14,6
152,158,14,14
158,152,14,14
161,234,14,21
234,161,14,21
172,241,14,23
241,172,14,23
0,220,15,13
