250,732
fromId,toId,d,c1
15,21,2,2
21,15,2,2
81,167,2,1
167,81,2,1
49,152,3,3
152,49,3,3
50,101,3,3
101,50,3,3
58,82,3,2
82,58,3,2
96,227,3,3
227,96,3,3
122,249,3,2
249,122,3,2
143,229,3,2
229,143,3,2
203,223,3,3
223,203,3,3
9,55,4,4
55,9,4,4
29,219,4,4
219,29,4,4
61,82,4,3
82,61,4,3
76,189,4,4
189,76,4,4
92,144,4,3
144,92,4,3
109,164,4,3
164,109,4,3
3,210,5,5
210,3,5,5
7,184,5,5
184,7,5,5
45,64,5,5
64,45,5,5
46,156,5,4
156,46,5,4
49,143,5,5
143,49,5,5
63,162,5,5
162,63,5,5
65,224,5,5
224,65,5,5
97,127,5,5
127,97,5,5
99,234,5,4
234,99,5,4
101,249,5,5
249,101,5,5
125,220,5,5
220,125,5,5
126,133,5,4
133,126,5,4
133,180,5,5
180,133,5,5
144,242,5,4
242,144,5,4
8,192,6,5
192,8,6,5
18,195,6,5
195,18,6,5
33,203,6,6
203,33,6,6
35,199,6,7
199,35,6,7
166,179,6,5
179,166,6,5
204,245,6,5
245,204,6,5
13,185,7,7
185,13,7,7
15,151,7,6
151,15,7,6
40,123,7,8
123,40,7,8
42,63,7,6
63,42,7,6
44,68,7,6
68,44,7,6
47,173,7,5
173,47,7,5
66,219,7,8
219,66,7,8
74,142,7,7
142,74,7,7
76,107,7,6
107,76,7,6
78,190,7,5
190,78,7,5
89,117,7,6
117,89,7,6
113,224,7,6
224,113,7,6
120,247,7,8
247,120,7,8
127,216,7,7
216,127,7,7
173,238,7,7
238,173,7,7
182,228,7,8
228,182,7,8
211,217,7,6
217,211,7,6
244,246,7,6
246,244,7,6
12,53,8,8
53,12,8,8
12,247,8,8
247,12,8,8
19,68,8,7
68,19,8,7
20,165,8,7
165,20,8,7
25,96,8,6
96,25,8,6
38,72,8,8
72,38,8,8
40,163,8,6
163,40,8,6
61,229,8,9
229,61,8,9
93,139,8,8
139,93,8,8
112,155,8,7
155,112,8,7
116,178,8,8
178,116,8,8
132,186,8,7
186,132,8,7
137,140,8,8
140,137,8,8
200,215,8,7
215,200,8,7
0,237,9,8
237,0,9,8
25,72,9,9
72,25,9,9
31,43,9,7
43,31,9,7
35,36,9,8
36,35,9,8
41,180,9,8
180,41,9,8
45,103,9,8
103,45,9,8
75,150,9,8
150,75,9,8
90,134,9,9
134,90,9,9
107,146,9,9
146,107,9,9
146,147,9,7
147,146,9,7
150,205,9,9
205,150,9,9
157,183,9,9
183,157,9,9
158,248,9,9
248,158,9,9
160,183,9,8
183,160,9,8
175,239,9,9
239,175,9,9
189,199,9,9
199,189,9,9
46,213,10,11
213,46,10,11
51,197,10,10
197,51,10,10
62,96,10,10
96,62,10,10
78,245,10,10
245,78,10,10
85,232,10,9
232,85,10,9
86,139,10,8
139,86,10,8
86,199,10,8
199,86,10,8
94,138,10,9
138,94,10,9
116,125,10,10
125,116,10,10
139,177,10,7
177,139,10,7
176,183,10,9
183,176,10,9
218,242,10,9
242,218,10,9
0,140,11,11
140,0,11,11
2,107,11,11
107,2,11,11
4,32,11,10
32,4,11,10
13,234,11,10
234,13,11,10
17,104,11,10
104,17,11,10
24,246,11,11
246,24,11,11
35,76,11,10
76,35,11,10
36,146,11,10
146,36,11,10
37,244,11,10
244,37,11,10
44,195,11,10
195,44,11,10
58,152,11,10
152,58,11,10
58,175,11,11
175,58,11,11
80,237,11,9
237,80,11,9
94,216,11,11
216,94,11,11
105,214,11,11
214,105,11,11
116,194,11,11
194,116,11,11
128,160,11,11
160,128,11,11
140,193,11,13
193,140,11,13
168,205,11,11
205,168,11,11
10,73,12,11
73,10,12,11
11,134,12,10
134,11,12,10
27,235,12,11
235,27,12,11
48,233,12,10
233,48,12,10
77,198,12,9
198,77,12,9
84,215,12,11
215,84,12,11
137,167,12,13
167,137,12,13
158,192,12,12
192,158,12,12
171,214,12,13
214,171,12,13
181,233,12,12
233,181,12,12
196,231,12,11
231,196,12,11
5,130,13,13
130,5,13,13
6,154,13,12
154,6,13,12
7,161,13,11
161,7,13,11
27,145,13,13
145,27,13,13
30,154,13,11
154,30,13,11
30,196,13,12
196,30,13,12
33,62,13,14
62,33,13,14
38,230,13,12
230,38,13,12
47,91,13,13
91,47,13,13
54,207,13,14
207,54,13,14
59,75,13,11
75,59,13,11
71,85,13,11
85,71,13,11
72,236,13,11
236,72,13,11
84,109,13,14
109,84,13,14
102,210,13,13
210,102,13,13
111,122,13,12
122,111,13,12
114,118,13,13
118,114,13,13
145,174,13,13
174,145,13,13
167,193,13,14
193,167,13,14
169,222,13,13
222,169,13,13
224,245,13,12
245,224,13,12
3,45,14,15
45,3,14,15
8,134,14,14
134,8,14,14
8,202,14,15
202,8,14,15
14,89,14,15
89,14,14,15
16,172,14,13
172,16,14,13
17,94,14,12
94,17,14,12
29,80,14,14
80,29,14,14
47,115,14,14
115,47,14,14
56,182,14,15
182,56,14,15
67,220,14,12
220,67,14,12
69,243,14,15
243,69,14,15
79,98,14,14
98,79,14,14
108,181,14,16
181,108,14,16
111,226,14,14
226,111,14,14
112,151,14,13
151,112,14,13
114,179,14,13
179,114,14,13
130,146,14,13
146,130,14,13
228,242,14,14
242,228,14,14
3,90,15,14
90,3,15,14
27,213,15,16
213,27,15,16
34,186,15,16
186,34,15,16
39,236,15,15
236,39,15,15
43,91,15,13
91,43,15,13
55,159,15,11
159,55,15,11
57,171,15,16
171,57,15,16
59,172,15,15
172,59,15,15
61,129,15,13
129,61,15,13
78,113,15,14
113,78,15,14
92,233,15,15
233,92,15,15
98,119,15,14
119,98,15,14
124,148,15,12
148,124,15,12
132,181,15,14
181,132,15,14
138,208,15,13
208,138,15,13
148,214,15,13
214,148,15,13
150,172,15,15
172,150,15,15
153,159,15,11
159,153,15,11
168,197,15,14
197,168,15,14
204,207,15,14
207,204,15,14
228,232,15,14
232,228,15,14
4,232,16,12
232,4,16,12
26,93,16,16
93,26,16,16
26,126,16,13
126,26,16,13
28,243,16,19
243,28,16,19
50,106,16,15
106,50,16,15
52,127,16,15
127,52,16,15
57,222,16,16
222,57,16,16
67,163,16,14
163,67,16,14
85,182,16,17
182,85,16,17
104,170,16,14
170,104,16,14
104,201,16,14
201,104,16,14
120,239,16,17
239,120,16,17
135,248,16,15
248,135,16,15
149,161,16,16
161,149,16,16
9,206,17,15
206,9,17,15
19,20,17,17
20,19,17,17
26,221,17,17
221,26,17,17
27,177,17,16
177,27,17,16
29,161,17,15
161,29,17,15
31,87,17,15
87,31,17,15
32,115,17,17
115,32,17,17
40,118,17,15
118,40,17,15
42,132,17,17
132,42,17,17
106,209,17,16
209,106,17,16
139,235,17,13
235,139,17,13
141,142,17,16
142,141,17,16
148,162,17,15
162,148,17,15
178,211,17,17
211,178,17,17
1,209,18,14
209,1,18,14
2,156,18,15
156,2,18,15
15,70,18,19
70,15,18,19
18,165,18,22
165,18,18,22
46,235,18,18
235,46,18,18
51,60,18,16
60,51,18,16
57,124,18,17
124,57,18,17
60,84,18,16
84,60,18,16
67,194,18,17
194,67,18,17
69,164,18,22
164,69,18,22
110,198,18,22
198,110,18,22
114,191,18,17
191,114,18,17
125,141,18,16
141,125,18,16
142,211,18,19
211,142,18,19
153,243,18,19
243,153,18,19
13,174,19,18
174,13,19,18
15,89,19,17
89,15,19,17
48,218,19,18
218,48,19,18
70,112,19,17
112,70,19,17
70,129,19,21
129,70,19,21
91,218,19,16
218,91,19,16
101,209,19,18
209,101,19,18
1,157,20,16
157,1,20,16
16,168,20,20
168,16,20,20
51,109,20,20
109,51,20,20
56,208,20,17
208,56,20,17
68,118,20,17
118,68,20,17
70,143,20,21
143,70,20,21
97,208,20,21
208,97,20,21
105,212,20,20
212,105,20,20
120,188,20,18
188,120,20,18
154,231,20,19
231,154,20,19
174,213,20,24
213,174,20,24
176,237,20,20
237,176,20,20
189,235,20,19
235,189,20,19
231,241,20,19
241,231,20,19
0,128,21,15
128,0,21,15
10,100,21,22
100,10,21,22
21,155,21,21
155,21,21,21
32,149,21,19
149,32,21,19
34,105,21,24
105,34,21,24
43,238,21,25
238,43,21,25
54,100,21,20
100,54,21,20
80,193,21,20
193,80,21,20
81,131,21,22
131,81,21,22
83,222,21,21
222,83,21,21
98,210,21,22
210,98,21,22
121,221,21,21
221,121,21,21
123,179,21,23
179,123,21,23
149,223,21,23
223,149,21,23
202,248,21,18
248,202,21,18
11,23,22,15
23,11,22,15
12,175,22,21
175,12,22,21
20,138,22,18
138,20,22,18
20,170,22,19
170,20,22,19
35,93,22,19
93,35,22,19
37,67,22,24
67,37,22,24
41,239,22,19
239,41,22,19
42,87,22,25
87,42,22,25
