100,288
fromId,toId,d,c1
60,88,1,1
88,60,1,1
16,55,2,2
55,16,2,2
23,73,2,2
73,23,2,2
14,24,4,3
24,14,4,3
14,51,4,3
51,14,4,3
17,38,4,3
38,17,4,3
22,99,4,3
99,22,4,3
41,86,4,4
86,41,4,4
0,3,5,4
3,0,5,4
27,30,5,4
30,27,5,4
40,82,5,3
82,40,5,3
43,68,5,4
68,43,5,4
45,65,5,5
65,45,5,5
61,87,5,5
87,61,5,5
13,41,6,6
41,13,6,6
94,96,6,6
96,94,6,6
8,61,7,7
61,8,7,7
9,29,7,7
29,9,7,7
18,85,7,6
85,18,7,6
25,50,7,6
50,25,7,6
23,37,8,8
37,23,8,8
28,53,8,8
53,28,8,8
39,75,8,6
75,39,8,6
2,4,9,8
4,2,9,8
7,66,9,8
66,7,9,8
22,98,9,8
98,22,9,8
28,29,9,7
29,28,9,7
56,99,9,10
99,56,9,10
0,60,10,10
60,0,10,10
6,75,10,9
75,6,10,9
34,52,10,9
52,34,10,9
41,89,10,11
89,41,10,11
4,36,11,11
36,4,11,11
5,21,11,12
21,5,11,12
10,52,11,11
52,10,11,11
19,84,11,10
84,19,11,10
22,48,11,11
48,22,11,11
24,92,11,11
92,24,11,11
33,77,11,8
77,33,11,8
39,46,11,10
46,39,11,10
45,59,11,13
59,45,11,13
47,49,11,11
49,47,11,11
55,86,11,9
86,55,11,9
14,30,12,12
30,14,12,12
42,72,12,11
72,42,12,11
56,63,12,8
63,56,12,8
66,79,12,12
79,66,12,12
5,19,13,14
19,5,13,14
10,78,13,12
78,10,13,12
26,78,13,8
78,26,13,8
31,62,13,11
62,31,13,11
58,98,13,13
98,58,13,13
59,91,13,14
91,59,13,14
62,93,13,11
93,62,13,11
77,82,13,11
82,77,13,11
4,37,14,16
37,4,14,16
8,31,14,17
31,8,14,17
16,71,14,17
71,16,14,17
20,21,14,15
21,20,14,15
33,40,14,13
40,33,14,13
56,67,14,12
67,56,14,12
69,83,14,11
83,69,14,11
1,80,15,14
80,1,15,14
6,18,15,12
18,6,15,12
12,52,15,17
52,12,15,17
13,97,15,12
97,13,15,12
24,27,15,12
27,24,15,12
32,35,15,14
35,32,15,14
46,67,15,13
67,46,15,13
59,96,15,15
96,59,15,15
68,91,15,15
91,68,15,15
69,95,15,13
95,69,15,13
6,46,16,16
46,6,16,16
31,33,16,13
33,31,16,13
45,84,16,15
84,45,16,15
53,82,16,16
82,53,16,16
70,97,16,13
97,70,16,13
15,74,17,19
74,15,17,19
25,40,17,17
40,25,17,17
43,94,17,18
94,43,17,18
49,88,17,19
88,49,17,19
58,81,17,18
81,58,17,18
67,98,17,17
98,67,17,17
70,79,17,16
79,70,17,16
2,34,18,20
34,2,18,20
8,17,18,20
17,8,18,20
44,49,18,17
49,44,18,17
6,27,19,20
27,6,19,20
13,69,19,18
69,13,19,18
28,40,19,18
40,28,19,18
32,50,19,19
50,32,19,19
80,85,19,18
85,80,19,18
5,91,20,19
91,5,20,19
9,64,20,20
64,9,20,20
19,59,20,19
59,19,20,19
30,63,20,18
63,30,20,18
54,75,20,17
75,54,20,17
26,36,21,21
36,26,21,21
9,25,22,26
25,9,22,26
17,32,22,24
32,17,22,24
54,80,22,18
80,54,22,18
66,71,22,25
71,66,22,25
71,90,22,19
90,71,22,19
72,87,22,18
87,72,22,18
78,81,22,22
81,78,22,22
26,93,23,24
93,26,23,24
33,38,23,23
38,33,23,23
44,87,23,24
87,44,23,24
73,74,23,25
74,73,23,25
73,76,23,24
76,73,23,24
89,95,23,19
95,89,23,19
11,47,24,24
47,11,24,24
12,65,24,30
65,12,24,30
29,54,24,23
54,29,24,23
57,83,24,24
83,57,24,24
66,97,24,27
97,66,24,27
3,15,25,23
15,3,25,23
62,77,25,21
77,62,25,21
83,97,25,25
97,83,25,25
25,38,26,23
38,25,26,23
42,44,26,30
44,42,26,30
51,90,26,22
90,51,26,22
1,64,27,22
64,1,27,22
2,76,27,26
76,2,27,26
57,94,27,27
94,57,27,27
63,90,27,22
90,63,27,22
20,76,28,26
76,20,28,26
39,53,28,32
53,39,28,32
58,77,30,31
77,58,30,31
3,11,31,28
11,3,31,28
48,89,31,33
89,48,31,33
12,95,32,33
95,12,32,33
52,84,32,30
84,52,32,30
0,23,34,38
23,0,34,38
18,92,34,38
92,18,34,38
0,93,36,33
93,0,36,33
95,96,36,36
96,95,36,36
16,56,38,44
56,16,38,44
8,60,40,41
60,8,40,41
62,81,40,38
81,62,40,38
55,99,41,38
99,55,41,38
10,89,50,54
89,10,50,54
35,64,51,54
64,35,51,54
7,92,67,73
92,7,67,73
